,step,train_error,train_loss,validation_error
0,0,0.9140625,2.5439512729644775,0.8840000033378601
1,391,0.4765625,1.4946836233139038,0.5400000214576721
2,782,0.4296875,1.3796827793121338,0.47999998927116394
3,1173,0.4296875,1.276570439338684,0.46000000834465027
4,1564,0.3828125,1.1237999200820923,0.41999998688697815
5,1955,0.328125,0.9785858988761902,0.4000000059604645
6,2346,0.34375,1.005497694015503,0.3199999928474426
7,2737,0.328125,1.1151844263076782,0.35199999809265137
8,3128,0.3046875,0.9548860788345337,0.3199999928474426
9,3519,0.2890625,0.8416606783866882,0.30399999022483826
10,3910,0.3359375,1.0171040296554565,0.30799999833106995
11,4301,0.2265625,0.6749585270881653,0.30799999833106995
12,4692,0.3046875,0.9167864322662354,0.24799999594688416
13,5083,0.234375,0.7979843616485596,0.2840000092983246
14,5474,0.2265625,0.7758148908615112,0.2720000147819519
15,5865,0.2109375,0.6895148158073425,0.2160000056028366
16,6256,0.1875,0.5856370329856873,0.2680000066757202
17,6647,0.1875,0.6274322867393494,0.18799999356269836
18,7038,0.171875,0.5611218810081482,0.2240000069141388
19,7429,0.140625,0.6445952653884888,0.2240000069141388
20,7820,0.1328125,0.4468350410461426,0.2160000056028366
21,8211,0.15625,0.5445922613143921,0.19200000166893005
22,8602,0.203125,0.7142986059188843,0.20000000298023224
23,8993,0.1328125,0.42439883947372437,0.20800000429153442
24,9384,0.203125,0.6060060262680054,0.25200000405311584
25,9775,0.1953125,0.6520053148269653,0.2160000056028366
26,10166,0.1640625,0.5045644640922546,0.164000004529953
27,10557,0.125,0.47047653794288635,0.1679999977350235
28,10948,0.140625,0.49324607849121094,0.20800000429153442
29,11339,0.1640625,0.4687514305114746,0.2240000069141388
30,11730,0.1484375,0.5487072467803955,0.14800000190734863
31,12121,0.1484375,0.4444247782230377,0.19599999487400055
32,12512,0.1171875,0.37850743532180786,0.2280000001192093
33,12903,0.0859375,0.32584595680236816,0.18400000035762787
34,13294,0.1015625,0.3613944947719574,0.1720000058412552
35,13685,0.125,0.4584404528141022,0.20399999618530273
36,14076,0.125,0.39212602376937866,0.18799999356269836
37,14467,0.1171875,0.40359100699424744,0.2199999988079071
38,14858,0.078125,0.31355470418930054,0.14800000190734863
39,15249,0.1796875,0.5387389659881592,0.164000004529953
40,15640,0.09375,0.4005894064903259,0.1720000058412552
41,16031,0.0859375,0.4070556163787842,0.14399999380111694
42,16422,0.140625,0.56540447473526,0.14399999380111694
43,16813,0.1015625,0.3384677767753601,0.18400000035762787
44,17204,0.1328125,0.35459253191947937,0.1720000058412552
45,17595,0.109375,0.39190027117729187,0.19200000166893005
46,17986,0.1328125,0.3948429524898529,0.1720000058412552
47,18377,0.140625,0.3966338336467743,0.14399999380111694
48,18768,0.1484375,0.5072840452194214,0.15199999511241913
49,19159,0.140625,0.4550435543060303,0.18000000715255737
50,19550,0.0625,0.2451610416173935,0.164000004529953
51,19941,0.078125,0.2852379381656647,0.14000000059604645
52,20332,0.109375,0.4150688350200653,0.14000000059604645
53,20723,0.0625,0.286530464887619,0.18799999356269836
54,21114,0.0546875,0.25500449538230896,0.1720000058412552
55,21505,0.0703125,0.3182815909385681,0.14800000190734863
56,21896,0.1484375,0.49300408363342285,0.1720000058412552
57,22287,0.0390625,0.23328693211078644,0.09600000083446503
58,22678,0.09375,0.32884669303894043,0.1599999964237213
59,23069,0.0546875,0.2682928144931793,0.18000000715255737
60,23460,0.0625,0.275825172662735,0.1720000058412552
61,23851,0.1484375,0.40923619270324707,0.164000004529953
62,24242,0.03125,0.2322903871536255,0.14399999380111694
63,24633,0.0859375,0.3036021292209625,0.15199999511241913
64,25024,0.125,0.41544899344444275,0.1679999977350235
65,25415,0.015625,0.1576050966978073,0.13199999928474426
66,25806,0.0625,0.3151840269565582,0.15199999511241913
67,26197,0.1015625,0.3233930468559265,0.15199999511241913
68,26588,0.0390625,0.18688908219337463,0.17599999904632568
69,26979,0.015625,0.12763695418834686,0.1679999977350235
70,27370,0.0625,0.22464416921138763,0.18400000035762787
71,27761,0.03125,0.15836651623249054,0.19200000166893005
72,28152,0.0703125,0.3013989329338074,0.15199999511241913
73,28543,0.0390625,0.18008416891098022,0.14399999380111694
74,28934,0.0546875,0.19551528990268707,0.14399999380111694
75,29325,0.0625,0.2638334333896637,0.13199999928474426
76,29716,0.0,0.1328040361404419,0.12800000607967377
77,30107,0.0390625,0.17055130004882812,0.11999999731779099
78,30498,0.109375,0.3853362202644348,0.14000000059604645
79,30889,0.0625,0.37072527408599854,0.13199999928474426
80,31280,0.0859375,0.23480431735515594,0.12800000607967377
81,31671,0.0546875,0.25993895530700684,0.14399999380111694
82,32062,0.0546875,0.223407581448555,0.17599999904632568
83,32453,0.046875,0.1592869758605957,0.164000004529953
84,32844,0.0703125,0.2708122134208679,0.18799999356269836
85,33235,0.046875,0.18284127116203308,0.1720000058412552
86,33626,0.0234375,0.12272205948829651,0.15199999511241913
87,34017,0.0234375,0.13600708544254303,0.11999999731779099
88,34408,0.0078125,0.11883445084095001,0.12800000607967377
89,34799,0.0234375,0.13377027213573456,0.1599999964237213
90,35190,0.0390625,0.18272708356380463,0.1120000034570694
91,35581,0.015625,0.14061282575130463,0.1679999977350235
92,35972,0.046875,0.16862834990024567,0.15199999511241913
93,36363,0.09375,0.24686919152736664,0.1599999964237213
94,36754,0.0390625,0.16580423712730408,0.18000000715255737
95,37145,0.03125,0.11475959420204163,0.15199999511241913
96,37536,0.03125,0.13989399373531342,0.14800000190734863
97,37927,0.0546875,0.18957500159740448,0.1599999964237213
98,38318,0.0625,0.22799097001552582,0.15600000321865082
99,38709,0.0546875,0.18652398884296417,0.164000004529953
100,39100,0.0546875,0.22932186722755432,0.11999999731779099
101,39491,0.0546875,0.18163461983203888,0.14800000190734863
102,39882,0.0390625,0.1383804976940155,0.10000000149011612
103,40273,0.015625,0.12749436497688293,0.164000004529953
104,40664,0.015625,0.11164871603250504,0.15600000321865082
105,41055,0.0078125,0.10600835084915161,0.13600000739097595
106,41446,0.015625,0.07997197657823563,0.15600000321865082
107,41837,0.0078125,0.08779750764369965,0.13199999928474426
108,42228,0.0234375,0.11851805448532104,0.14000000059604645
109,42619,0.015625,0.09627579152584076,0.15600000321865082
110,43010,0.0078125,0.09965802729129791,0.1080000028014183
111,43401,0.0,0.06697773933410645,0.11599999666213989
112,43792,0.015625,0.09474097192287445,0.12399999797344208
113,44183,0.0,0.07082594186067581,0.13600000739097595
114,44574,0.0,0.06650426983833313,0.12399999797344208
115,44965,0.0,0.0696522444486618,0.13199999928474426
116,45356,0.015625,0.1045592725276947,0.1080000028014183
117,45747,0.0078125,0.08958109468221664,0.11599999666213989
118,46138,0.0078125,0.07334906607866287,0.13600000739097595
119,46529,0.0,0.07685543596744537,0.14000000059604645
120,46920,0.0078125,0.07852353900671005,0.13199999928474426
121,47311,0.0078125,0.09099309146404266,0.14000000059604645
122,47702,0.0078125,0.0814179927110672,0.10000000149011612
123,48093,0.015625,0.143454909324646,0.14399999380111694
124,48484,0.0078125,0.08718930929899216,0.14800000190734863
125,48875,0.0390625,0.1272672414779663,0.15199999511241913
126,49266,0.015625,0.07526340335607529,0.09600000083446503
127,49657,0.0078125,0.07787691801786423,0.12399999797344208
128,50048,0.0,0.05991724878549576,0.13199999928474426
129,50439,0.0,0.06475300341844559,0.14399999380111694
130,50830,0.0234375,0.1625036895275116,0.1599999964237213
131,51221,0.0,0.06260473281145096,0.13600000739097595
132,51612,0.0234375,0.09656864404678345,0.14399999380111694
133,52003,0.015625,0.12431825697422028,0.1120000034570694
