,step,train_error,train_loss,validation_error
0,0,0.890625,2.5312247276306152,0.9120000004768372
1,391,0.3046875,1.0220355987548828,0.41600000858306885
2,782,0.28125,0.9176671504974365,0.328000009059906
3,1173,0.25,0.8686609268188477,0.25999999046325684
4,1564,0.203125,0.7217954397201538,0.23199999332427979
5,1955,0.1953125,0.6085890531539917,0.2199999988079071
6,2346,0.1875,0.6458219885826111,0.19599999487400055
7,2737,0.1796875,0.5388802289962769,0.19599999487400055
8,3128,0.2109375,0.6037557721138,0.20000000298023224
9,3519,0.125,0.43546804785728455,0.19200000166893005
10,3910,0.1796875,0.5954678058624268,0.15600000321865082
11,4301,0.1015625,0.356026291847229,0.17599999904632568
12,4692,0.1171875,0.39571139216423035,0.15199999511241913
13,5083,0.15625,0.5088308453559875,0.12399999797344208
14,5474,0.1015625,0.3931601941585541,0.15600000321865082
15,5865,0.0859375,0.4637117087841034,0.18799999356269836
16,6256,0.125,0.3832056522369385,0.15600000321865082
17,6647,0.09375,0.3682751953601837,0.18000000715255737
18,7038,0.1015625,0.36154505610466003,0.1720000058412552
19,7429,0.1328125,0.402683287858963,0.14000000059604645
20,7820,0.109375,0.3829348087310791,0.13199999928474426
21,8211,0.1328125,0.4777781069278717,0.1120000034570694
22,8602,0.1015625,0.38079413771629333,0.12399999797344208
23,8993,0.1171875,0.4463565945625305,0.13600000739097595
24,9384,0.0703125,0.31720176339149475,0.1679999977350235
25,9775,0.0234375,0.23800471425056458,0.14800000190734863
26,10166,0.0859375,0.4118492305278778,0.1679999977350235
27,10557,0.0859375,0.3418252468109131,0.14399999380111694
28,10948,0.078125,0.39613303542137146,0.1720000058412552
29,11339,0.0859375,0.2934117317199707,0.1080000028014183
30,11730,0.09375,0.3551003634929657,0.11999999731779099
31,12121,0.1484375,0.44196853041648865,0.15600000321865082
32,12512,0.09375,0.3609030544757843,0.18799999356269836
33,12903,0.046875,0.23385421931743622,0.15199999511241913
34,13294,0.078125,0.3437057435512543,0.13199999928474426
35,13685,0.078125,0.30688565969467163,0.13600000739097595
36,14076,0.078125,0.2819952368736267,0.13600000739097595
37,14467,0.1015625,0.353780061006546,0.11599999666213989
38,14858,0.0625,0.2750355303287506,0.18000000715255737
39,15249,0.078125,0.38493064045906067,0.11999999731779099
40,15640,0.0703125,0.36033639311790466,0.10000000149011612
41,16031,0.0703125,0.25107571482658386,0.164000004529953
42,16422,0.0546875,0.33437639474868774,0.08399999886751175
43,16813,0.015625,0.17201316356658936,0.12800000607967377
44,17204,0.0859375,0.30311140418052673,0.11999999731779099
45,17595,0.0859375,0.36369162797927856,0.12800000607967377
46,17986,0.078125,0.2928239405155182,0.13600000739097595
47,18377,0.078125,0.33496782183647156,0.1120000034570694
48,18768,0.0703125,0.3042326271533966,0.15600000321865082
49,19159,0.0546875,0.22310170531272888,0.10400000214576721
50,19550,0.0703125,0.2865999937057495,0.12800000607967377
51,19941,0.0234375,0.1671324521303177,0.1120000034570694
52,20332,0.109375,0.4498334228992462,0.10400000214576721
53,20723,0.1328125,0.44181200861930847,0.10400000214576721
54,21114,0.1484375,0.48864561319351196,0.13600000739097595
55,21505,0.0859375,0.3034439980983734,0.15600000321865082
56,21896,0.0546875,0.229890376329422,0.13199999928474426
57,22287,0.0546875,0.26267480850219727,0.14800000190734863
58,22678,0.1171875,0.32466834783554077,0.12399999797344208
59,23069,0.1015625,0.3366306722164154,0.10400000214576721
60,23460,0.0546875,0.22909948229789734,0.12399999797344208
61,23851,0.03125,0.22706656157970428,0.10400000214576721
62,24242,0.0625,0.22747300565242767,0.11999999731779099
63,24633,0.03125,0.25400665402412415,0.12399999797344208
64,25024,0.078125,0.2524203062057495,0.13199999928474426
65,25415,0.1328125,0.47998160123825073,0.12399999797344208
66,25806,0.09375,0.34561288356781006,0.11599999666213989
67,26197,0.1015625,0.3605321943759918,0.13600000739097595
68,26588,0.0625,0.28133130073547363,0.07599999755620956
69,26979,0.0546875,0.2512124180793762,0.14800000190734863
70,27370,0.0546875,0.22298181056976318,0.11999999731779099
71,27761,0.0625,0.27593377232551575,0.12399999797344208
72,28152,0.078125,0.2558700442314148,0.1080000028014183
73,28543,0.0859375,0.33641743659973145,0.08399999886751175
