,step,train_error,train_loss,validation_error
0,0,0.875,2.457763910293579,0.8759999871253967
1,391,0.84375,2.4285919666290283,0.8999999761581421
2,782,0.921875,2.4893555641174316,0.8759999871253967
3,1173,0.90625,2.4398937225341797,0.8960000276565552
4,1564,0.9296875,2.465388536453247,0.8759999871253967
5,1955,0.8828125,2.438293218612671,0.9079999923706055
6,2346,0.921875,2.443615436553955,0.8759999871253967
7,2737,0.9296875,2.46913480758667,0.9120000004768372
8,3128,0.8359375,2.444741725921631,0.8999999761581421
9,3519,0.90625,2.437333345413208,0.9279999732971191
10,3910,0.890625,2.3900556564331055,0.9160000085830688
11,4301,0.8828125,2.4143290519714355,0.8960000276565552
12,4692,0.921875,2.394193172454834,0.9279999732971191
13,5083,0.90625,2.39493727684021,0.8960000276565552
14,5474,0.890625,2.37770676612854,0.8759999871253967
15,5865,0.8828125,2.406630754470825,0.8679999709129333
16,6256,0.8828125,2.4102470874786377,0.8759999871253967
17,6647,0.8671875,2.361948251724243,0.8920000195503235
18,7038,0.8671875,2.3997838497161865,0.8240000009536743
19,7429,0.9140625,2.3373656272888184,0.8479999899864197
20,7820,0.859375,2.3599953651428223,0.8840000033378601
21,8211,0.9296875,2.382486581802368,0.8399999737739563
22,8602,0.8359375,2.3262288570404053,0.8679999709129333
23,8993,0.8515625,2.347047805786133,0.8399999737739563
24,9384,0.8203125,2.3725204467773438,0.8199999928474426
25,9775,0.875,2.3397738933563232,0.8199999928474426
26,10166,0.8046875,2.309274911880493,0.8479999899864197
27,10557,0.828125,2.296156167984009,0.8320000171661377
28,10948,0.8515625,2.306161403656006,0.828000009059906
29,11339,0.8125,2.287022113800049,0.8199999928474426
30,11730,0.7734375,2.2890567779541016,0.8360000252723694
31,12121,0.859375,2.3006935119628906,0.8600000143051147
32,12512,0.8203125,2.288679599761963,0.7319999933242798
33,12903,0.8203125,2.3146162033081055,0.8080000281333923
34,13294,0.8046875,2.297822952270508,0.8479999899864197
35,13685,0.8125,2.327578544616699,0.8240000009536743
36,14076,0.859375,2.3135945796966553,0.7960000038146973
37,14467,0.8203125,2.2990241050720215,0.8159999847412109
38,14858,0.828125,2.31026291847229,0.8080000281333923
39,15249,0.796875,2.304441213607788,0.8199999928474426
40,15640,0.75,2.2338404655456543,0.7639999985694885
41,16031,0.84375,2.2905025482177734,0.7919999957084656
42,16422,0.8203125,2.2931087017059326,0.828000009059906
43,16813,0.8515625,2.2864246368408203,0.8080000281333923
44,17204,0.828125,2.274451494216919,0.7839999794960022
45,17595,0.7734375,2.239872455596924,0.8040000200271606
46,17986,0.8046875,2.2502193450927734,0.7879999876022339
47,18377,0.7734375,2.2391748428344727,0.7960000038146973
48,18768,0.734375,2.2179298400878906,0.7599999904632568
49,19159,0.78125,2.2410826683044434,0.8199999928474426
50,19550,0.78125,2.221665859222412,0.7919999957084656
51,19941,0.8046875,2.245820999145508,0.7519999742507935
52,20332,0.8125,2.309093475341797,0.7599999904632568
53,20723,0.7578125,2.2157933712005615,0.7239999771118164
54,21114,0.765625,2.2488646507263184,0.7319999933242798
55,21505,0.7890625,2.223257064819336,0.8040000200271606
56,21896,0.7265625,2.213433265686035,0.8159999847412109
57,22287,0.734375,2.261867046356201,0.7960000038146973
58,22678,0.859375,2.253464460372925,0.7760000228881836
59,23069,0.7734375,2.1958060264587402,0.7559999823570251
60,23460,0.71875,2.1603217124938965,0.7319999933242798
61,23851,0.765625,2.17816162109375,0.7599999904632568
62,24242,0.78125,2.2059173583984375,0.7720000147819519
63,24633,0.765625,2.1808013916015625,0.7799999713897705
64,25024,0.734375,2.243652105331421,0.7200000286102295
65,25415,0.75,2.1972150802612305,0.7879999876022339
66,25806,0.78125,2.1944961547851562,0.7440000176429749
